domain,target,feature_set,route,model,final_n_labeled,final_prefix_mae,auc_mae,n90,reference_baseline_mae,final_mae_delta_vs_reference,source_manifest,source_summary
CMC-Por aryl,isolated_yield_percent,rdkit_morgan_stage2p,diversity_first,ridge,25,35.03154160151418,467.2235139109514,6,15.0,20.031541601514178,data/expansion/catalyst_rerun/cmcpor_aryl_scope_progression/scope-progression-manifest.json,data/expansion/catalyst_rerun/cmcpor_aryl_scope_progression/learning-curve-summary.csv
CMC-Por aryl,isolated_yield_percent,rdkit_morgan_stage2p,diversity_first,tanimoto_knn,25,26.903666093576035,354.2835559387895,2,15.0,11.903666093576035,data/expansion/catalyst_rerun/cmcpor_aryl_scope_progression/scope-progression-manifest.json,data/expansion/catalyst_rerun/cmcpor_aryl_scope_progression/learning-curve-summary.csv
CMC-Por aryl,isolated_yield_percent,rdkit_morgan_stage2p,historical_order,elastic_net,25,8.173476442962425,457.6163004766756,6,15.0,-6.826523557037575,data/expansion/catalyst_rerun/cmcpor_aryl_scope_progression/scope-progression-manifest.json,data/expansion/catalyst_rerun/cmcpor_aryl_scope_progression/learning-curve-summary.csv
CMC-Por aryl,isolated_yield_percent,rdkit_morgan_stage2p,historical_order,ridge,25,10.24374097499581,474.5113915978344,6,15.0,-4.756259025004191,data/expansion/catalyst_rerun/cmcpor_aryl_scope_progression/scope-progression-manifest.json,data/expansion/catalyst_rerun/cmcpor_aryl_scope_progression/learning-curve-summary.csv
CMC-Por aryl,isolated_yield_percent,rdkit_morgan_stage2p,historical_order,tanimoto_knn,25,3.045134702488369,398.99024785874775,4,15.0,-11.954865297511631,data/expansion/catalyst_rerun/cmcpor_aryl_scope_progression/scope-progression-manifest.json,data/expansion/catalyst_rerun/cmcpor_aryl_scope_progression/learning-curve-summary.csv
CMC-Por aryl,isolated_yield_percent,rdkit_morgan_stage2p,performance_first,elastic_net,25,8.17347644296244,613.9812437161495,9,15.0,-6.826523557037561,data/expansion/catalyst_rerun/cmcpor_aryl_scope_progression/scope-progression-manifest.json,data/expansion/catalyst_rerun/cmcpor_aryl_scope_progression/learning-curve-summary.csv
CMC-Por aryl,isolated_yield_percent,rdkit_morgan_stage2p,performance_first,ridge,25,10.243744188690144,616.732233687233,9,15.0,-4.756255811309856,data/expansion/catalyst_rerun/cmcpor_aryl_scope_progression/scope-progression-manifest.json,data/expansion/catalyst_rerun/cmcpor_aryl_scope_progression/learning-curve-summary.csv
CMC-Por aryl,isolated_yield_percent,rdkit_morgan_stage2p,performance_first,tanimoto_knn,25,6.276132353719177,312.2540538707824,2,15.0,-8.723867646280823,data/expansion/catalyst_rerun/cmcpor_aryl_scope_progression/scope-progression-manifest.json,data/expansion/catalyst_rerun/cmcpor_aryl_scope_progression/learning-curve-summary.csv
CMC-Por aryl,isolated_yield_percent,rdkit_morgan_stage2p,random,ridge,25,21.603645882301485,518.4751922983946,24,15.0,6.603645882301485,data/expansion/catalyst_rerun/cmcpor_aryl_scope_progression/scope-progression-manifest.json,data/expansion/catalyst_rerun/cmcpor_aryl_scope_progression/learning-curve-summary.csv
CMC-Por aryl,isolated_yield_percent,rdkit_morgan_stage2p,random,tanimoto_knn,25,18.131180227944533,390.507873371826,2,15.0,3.131180227944533,data/expansion/catalyst_rerun/cmcpor_aryl_scope_progression/scope-progression-manifest.json,data/expansion/catalyst_rerun/cmcpor_aryl_scope_progression/learning-curve-summary.csv
CMC-Por aryl,isolated_yield_percent,rdkit_morgan_stage2p,uncertainty_diversity,elastic_net,25,35.58168762755189,467.9576422126914,6,15.0,20.581687627551887,data/expansion/catalyst_rerun/cmcpor_aryl_scope_progression/scope-progression-manifest.json,data/expansion/catalyst_rerun/cmcpor_aryl_scope_progression/learning-curve-summary.csv
CMC-Por aryl,isolated_yield_percent,rdkit_morgan_stage2p,uncertainty_diversity,ridge,25,35.03154088673389,479.37469692663643,6,15.0,20.031540886733893,data/expansion/catalyst_rerun/cmcpor_aryl_scope_progression/scope-progression-manifest.json,data/expansion/catalyst_rerun/cmcpor_aryl_scope_progression/learning-curve-summary.csv
CMC-Por aryl,isolated_yield_percent,rdkit_morgan_stage2p,uncertainty_diversity,tanimoto_knn,25,26.903666093576035,368.31748712320314,2,15.0,11.903666093576035,data/expansion/catalyst_rerun/cmcpor_aryl_scope_progression/scope-progression-manifest.json,data/expansion/catalyst_rerun/cmcpor_aryl_scope_progression/learning-curve-summary.csv
