substrate_id,family_id,pathway_id,atom_map_id,site_id,site_type,is_target_site,rule_estimated_bde,rule_bde_class,reference_xtb_bde,xtb_within_substrate_rank,rule_bde_confidence
1ab,nitrogen-heteroaryl,aryl,10,1ab-c10-benzylic,benzylic,False,85.0,very_low,107.23764953352612,1,high
1ab,nitrogen-heteroaryl,aryl,11,1ab-c11-benzylic,benzylic,True,85.0,very_low,110.64292855453947,2,high
1ac,silyl-alkyl-aryl,aryl,10,1ac-c10-benzylic,benzylic,False,85.0,very_low,107.44061133082425,1,high
1ac,silyl-alkyl-aryl,aryl,11,1ac-c11-benzylic_adjacent,benzylic_adjacent,True,98.0,moderate,113.76518164679513,2,high
1ac,silyl-alkyl-aryl,aryl,12,1ac-c12-aliphatic,aliphatic,False,98.0,moderate,121.36034008785536,3,high
1ac,silyl-alkyl-aryl,aryl,14,1ac-c14-aliphatic,aliphatic,False,101.0,high,127.81563829541658,4,high
1ac,silyl-alkyl-aryl,aryl,15,1ac-c15-aliphatic,aliphatic,False,101.0,high,128.19829101744307,6,high
1ac,silyl-alkyl-aryl,aryl,16,1ac-c16-aliphatic,aliphatic,False,101.0,high,127.8469677544722,5,high
1ae,carbonyl-alkyl-aryl,aryl,10,1ae-c10-benzylic,benzylic,False,85.0,very_low,108.80005652559689,1,high
1ae,carbonyl-alkyl-aryl,aryl,11,1ae-c11-carbonyl_alpha,carbonyl_alpha,True,94.0,moderate,116.08101043651679,2,high
1ae,carbonyl-alkyl-aryl,aryl,14,1ae-c14-aliphatic,aliphatic,False,90.3325,low,123.28679633480772,3,high
1af,carbonyl-alkyl-aryl,aryl,1,1af-c1-aliphatic,aliphatic,False,101.0,high,131.83295100933702,4,high
1af,carbonyl-alkyl-aryl,aryl,2,1af-c2-aliphatic,aliphatic,False,90.3325,low,119.99186027209377,3,high
1af,carbonyl-alkyl-aryl,aryl,6,1af-c6-carbonyl_alpha,carbonyl_alpha,True,94.0,moderate,116.21841232120782,2,high
1af,carbonyl-alkyl-aryl,aryl,7,1af-c7-benzylic,benzylic,False,85.0,very_low,108.68022837819012,1,high
1ag,carbonyl-alkyl-aryl,aryl,1,1ag-c1-aliphatic,aliphatic,False,90.0,low,116.45859594674972,2,high
1ag,carbonyl-alkyl-aryl,aryl,3,1ag-c3-aliphatic,aliphatic,False,90.0,low,117.40312461891178,3,high
1ag,carbonyl-alkyl-aryl,aryl,6,1ag-c6-carbonyl_alpha,carbonyl_alpha,True,94.0,moderate,120.2568125681862,4,high
1ag,carbonyl-alkyl-aryl,aryl,7,1ag-c7-benzylic,benzylic,False,85.0,very_low,108.08619011018592,1,high
1ah,alkyl-aryl-chain,aryl,10,1ah-c10-benzylic,benzylic,False,85.0,very_low,108.43355854489482,2,high
1ah,alkyl-aryl-chain,aryl,11,1ah-c11-benzylic_adjacent,benzylic_adjacent,True,98.0,moderate,124.97891279318755,3,high
1ah,alkyl-aryl-chain,aryl,12,1ah-c12-aliphatic,aliphatic,False,98.0,moderate,95.49093965866669,1,high
1ah,alkyl-aryl-chain,aryl,13,1ah-c13-aliphatic,aliphatic,False,101.0,high,131.24024684341663,4,high
1ai,alkyl-aryl-chain,aryl,10,1ai-c10-benzylic,benzylic,False,85.0,very_low,109.18748156762045,1,high
1ai,alkyl-aryl-chain,aryl,11,1ai-c11-benzylic_adjacent,benzylic_adjacent,True,98.0,moderate,124.5475635124384,3,high
1ai,alkyl-aryl-chain,aryl,12,1ai-c12-benzylic_adjacent,benzylic_adjacent,False,98.0,moderate,125.0907655355183,4,high
1ai,alkyl-aryl-chain,aryl,13,1ai-c13-benzylic,benzylic,False,85.0,very_low,110.30959816000026,2,high
1aj,cycloalkyl-alkyl-aryl,aryl,10,1aj-c10-benzylic,benzylic,False,85.0,very_low,108.11636191090045,1,high
1aj,cycloalkyl-alkyl-aryl,aryl,11,1aj-c11-benzylic_adjacent,benzylic_adjacent,True,98.0,moderate,119.17945245149134,2,high
1aj,cycloalkyl-alkyl-aryl,aryl,12,1aj-c12-cycloalkyl,cycloalkyl,False,101.0,high,131.85902404743885,3,high
1aj,cycloalkyl-alkyl-aryl,aryl,13,1aj-c13-cycloalkyl,cycloalkyl,False,102.0,high,136.33834326658476,5,high
1aj,cycloalkyl-alkyl-aryl,aryl,14,1aj-c14-cycloalkyl,cycloalkyl,False,102.0,high,136.22993315731514,4,high
1ak,cycloalkyl-alkyl-aryl,aryl,10,1ak-c10-benzylic,benzylic,False,85.0,very_low,105.41213574695722,2,high
1ak,cycloalkyl-alkyl-aryl,aryl,11,1ak-c11-benzylic_adjacent,benzylic_adjacent,True,98.0,moderate,124.00677302332531,5,high
1ak,cycloalkyl-alkyl-aryl,aryl,12,1ak-c12-cycloalkyl,cycloalkyl,False,97.0,moderate,115.49333992381587,3,high
1ak,cycloalkyl-alkyl-aryl,aryl,13,1ak-c13-cycloalkyl,cycloalkyl,False,98.0,moderate,97.80601199262495,1,high
1ak,cycloalkyl-alkyl-aryl,aryl,14,1ak-c14-cycloalkyl,cycloalkyl,False,98.0,moderate,124.23601849420301,6,high
1ak,cycloalkyl-alkyl-aryl,aryl,15,1ak-c15-cycloalkyl,cycloalkyl,False,98.0,moderate,124.28680340006217,7,high
1ak,cycloalkyl-alkyl-aryl,aryl,16,1ak-c16-cycloalkyl,cycloalkyl,False,98.0,moderate,123.96777634854294,4,high
1al,cycloalkyl-alkyl-aryl,aryl,10,1al-c10-benzylic,benzylic,False,85.0,very_low,107.96541130035385,1,high
1al,cycloalkyl-alkyl-aryl,aryl,11,1al-c11-benzylic_adjacent,benzylic_adjacent,True,98.0,moderate,124.92732950137288,8,high
1al,cycloalkyl-alkyl-aryl,aryl,12,1al-c12-cycloalkyl,cycloalkyl,False,97.0,moderate,117.91363405790968,2,high
1al,cycloalkyl-alkyl-aryl,aryl,13,1al-c13-cycloalkyl,cycloalkyl,False,98.0,moderate,124.35012419571446,5,high
1al,cycloalkyl-alkyl-aryl,aryl,14,1al-c14-cycloalkyl,cycloalkyl,False,98.0,moderate,124.12424899351053,4,high
1al,cycloalkyl-alkyl-aryl,aryl,15,1al-c15-cycloalkyl,cycloalkyl,False,98.0,moderate,124.38642595827093,6,high
1al,cycloalkyl-alkyl-aryl,aryl,16,1al-c16-cycloalkyl,cycloalkyl,False,98.0,moderate,124.48694283984577,7,high
1al,cycloalkyl-alkyl-aryl,aryl,17,1al-c17-cycloalkyl,cycloalkyl,False,98.0,moderate,123.5347289938928,3,high
1am,cycloalkyl-aryl,aryl,10,1am-c10-benzylic,benzylic,False,86.0,low,102.90791328685242,1,high
1am,cycloalkyl-aryl,aryl,11,1am-c11-cycloalkyl,cycloalkyl,True,98.0,moderate,124.57227291973862,5,high
1am,cycloalkyl-aryl,aryl,12,1am-c12-cycloalkyl,cycloalkyl,False,98.0,moderate,124.5223255689673,4,high
1am,cycloalkyl-aryl,aryl,13,1am-c13-cycloalkyl,cycloalkyl,False,98.0,moderate,124.51796118284636,3,high
1am,cycloalkyl-aryl,aryl,14,1am-c14-cycloalkyl,cycloalkyl,False,98.0,moderate,123.5796234777372,2,high
1ao,branched-diaryl-alkyl,aryl,1,1ao-c1-benzylic_adjacent,benzylic_adjacent,False,101.0,high,130.75173362013777,3,high
1ao,branched-diaryl-alkyl,aryl,2,1ao-c2-benzylic,benzylic,True,85.0,very_low,108.50909467466035,1,high
1ao,branched-diaryl-alkyl,aryl,3,1ao-c3-benzylic,benzylic,False,85.0,very_low,108.84396341997032,2,high
