candidate_id,smiles,provenance,canonical_smiles,contract_valid,rejection_reasons,ad_max_morgan_tanimoto,ad_status
enum-050083,[N-]=[N+]=Nc1cc(C(C)Cl)ccc1CCc2cc(C(C)C)cc(C1CCOCC1)c2,deterministic-enumeration,CC(C)c1cc(CCc2ccc(C(C)Cl)cc2N=[N+]=[N-])cc(C2CCOCC2)c1,true,,0.365079,in_domain
enum-050110,[N-]=[N+]=Nc1cc(C(C)Cl)ccc1CCc2cc(C(C)(C)C)cc(C(C)(C)C)c2,deterministic-enumeration,CC(Cl)c1ccc(CCc2cc(C(C)(C)C)cc(C(C)(C)C)c2)c(N=[N+]=[N-])c1,true,,0.471698,in_domain
enum-050111,[N-]=[N+]=Nc1cc(C(C)Cl)ccc1CCc2cc(C(C)(C)C)cc(C1CCCC1)c2,deterministic-enumeration,CC(Cl)c1ccc(CCc2cc(C3CCCC3)cc(C(C)(C)C)c2)c(N=[N+]=[N-])c1,true,,0.390625,in_domain
enum-050112,[N-]=[N+]=Nc1cc(C(C)Cl)ccc1CCc2cc(C(C)(C)C)cc(c1ccncc1)c2,deterministic-enumeration,CC(Cl)c1ccc(CCc2cc(-c3ccncc3)cc(C(C)(C)C)c2)c(N=[N+]=[N-])c1,true,,0.396825,in_domain
enum-050113,[N-]=[N+]=Nc1cc(C(C)Cl)ccc1CCc2cc(C(C)(C)C)cc(c1ccoc1)c2,deterministic-enumeration,CC(Cl)c1ccc(CCc2cc(-c3ccoc3)cc(C(C)(C)C)c2)c(N=[N+]=[N-])c1,true,,0.426230,in_domain
enum-050114,[N-]=[N+]=Nc1cc(C(C)Cl)ccc1CCc2cc(C(C)(C)C)cc(c1ccsc1)c2,deterministic-enumeration,CC(Cl)c1ccc(CCc2cc(-c3ccsc3)cc(C(C)(C)C)c2)c(N=[N+]=[N-])c1,true,,0.403226,in_domain
enum-050115,[N-]=[N+]=Nc1cc(C(C)Cl)ccc1CCc2cc(C(C)(C)C)cc(C(=O)N)c2,deterministic-enumeration,CC(Cl)c1ccc(CCc2cc(C(N)=O)cc(C(C)(C)C)c2)c(N=[N+]=[N-])c1,true,,0.396825,in_domain
enum-050116,[N-]=[N+]=Nc1cc(C(C)Cl)ccc1CCc2cc(C(C)(C)C)cc(C(C)O)c2,deterministic-enumeration,CC(O)c1cc(CCc2ccc(C(C)Cl)cc2N=[N+]=[N-])cc(C(C)(C)C)c1,true,,0.423729,in_domain
enum-050117,[N-]=[N+]=Nc1cc(C(C)Cl)ccc1CCc2cc(C(C)(C)C)cc(C(C)F)c2,deterministic-enumeration,CC(F)c1cc(CCc2ccc(C(C)Cl)cc2N=[N+]=[N-])cc(C(C)(C)C)c1,true,,0.423729,in_domain
enum-050118,[N-]=[N+]=Nc1cc(C(C)Cl)ccc1CCc2cc(C(C)(C)C)cc(C(C)Cl)c2,deterministic-enumeration,CC(Cl)c1cc(CCc2ccc(C(C)Cl)cc2N=[N+]=[N-])cc(C(C)(C)C)c1,true,,0.454545,in_domain
enum-050119,[N-]=[N+]=Nc1cc(C(C)Cl)ccc1CCc2cc(C(C)(C)C)cc(C(C)Br)c2,deterministic-enumeration,CC(Cl)c1ccc(CCc2cc(C(C)Br)cc(C(C)(C)C)c2)c(N=[N+]=[N-])c1,true,,0.423729,in_domain
enum-050120,[N-]=[N+]=Nc1cc(C(C)Cl)ccc1CCc2cc(C(C)(C)C)cc(C(C)C#N)c2,deterministic-enumeration,CC(Cl)c1ccc(CCc2cc(C(C)C#N)cc(C(C)(C)C)c2)c(N=[N+]=[N-])c1,true,,0.403226,in_domain
enum-050121,[N-]=[N+]=Nc1cc(C(C)Cl)ccc1CCc2cc(C(C)(C)C)cc(C1CCOCC1)c2,deterministic-enumeration,CC(Cl)c1ccc(CCc2cc(C3CCOCC3)cc(C(C)(C)C)c2)c(N=[N+]=[N-])c1,true,,0.373134,in_domain
enum-050149,[N-]=[N+]=Nc1cc(C(C)Cl)ccc1CCc2cc(C1CCCC1)cc(C1CCCC1)c2,deterministic-enumeration,CC(Cl)c1ccc(CCc2cc(C3CCCC3)cc(C3CCCC3)c2)c(N=[N+]=[N-])c1,true,,0.418182,in_domain
enum-050151,[N-]=[N+]=Nc1cc(C(C)Cl)ccc1CCc2cc(C1CCCC1)cc(c1ccoc1)c2,deterministic-enumeration,CC(Cl)c1ccc(CCc2cc(-c3ccoc3)cc(C3CCCC3)c2)c(N=[N+]=[N-])c1,true,,0.400000,in_domain
enum-050152,[N-]=[N+]=Nc1cc(C(C)Cl)ccc1CCc2cc(C1CCCC1)cc(c1ccsc1)c2,deterministic-enumeration,CC(Cl)c1ccc(CCc2cc(-c3ccsc3)cc(C3CCCC3)c2)c(N=[N+]=[N-])c1,true,,0.384615,in_domain
